+====================================+====================================+=================================================================================+
| Launch Setup Clock                 | Launch Hold Clock                  | Pin                                                                             |
+====================================+====================================+=================================================================================+
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_mplier_lat_reg[14]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_mplier_lat_reg[12]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_mplier_lat_reg[13]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pdu/s_divisor_sr_reg[19]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_mcand_lat_reg__0/R               |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_mplier_lat_reg[16]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_mplier_lat_reg[18]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_mplier_lat_reg[15]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_mplier_lat_reg[17]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_mcand_lat_reg__1/R               |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_mplier_lat_reg[10]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_mplier_lat_reg[11]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/s_io_out_sr_reg[3]/R                     |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/s_io_out_sr_reg[8]/R                     |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/s_io_out_sr_reg[9]/R                     |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/s_io_out_sr_reg[0]/R                     |
