Type,Req/Test ID,Module,Requirement / Description,Priority,Criteria / Expected,Source Documents,HDL File,Testbench File
Requirement,TIM-F-001,Timing Generator,Shall divide master clock to produce Phi1 Phi2 at 375 kHz,Must,,p1-4-to-p1-34-.txt (pp. 1-4 to 1-6); Rays-Chapter-7-System-Info.txt (pp. 5-6),timing_generator.vhd,timing_generator_tb.vhd
Requirement,TIM-F-002,Timing Generator,Phi1 and Phi2 shall be non-overlapping,Must,,p1-4-to-p1-34-.txt (pp. 1-4 to 1-6); Rays-Chapter-7-System-Info.txt (pp. 5-6),timing_generator.vhd,timing_generator_tb.vhd
Requirement,TIM-F-003,Timing Generator,Shall count 20 bit times per word (T0-T19),Must,,p1-4-to-p1-34-.txt (pp. 1-4 to 1-6),timing_generator.vhd,timing_generator_tb.vhd
Requirement,TIM-F-004,Timing Generator,Shall alternate between WA and WO word types,Must,,p1-4-to-p1-34-.txt (pp. 1-4 to 1-6),timing_generator.vhd,timing_generator_tb.vhd
Requirement,TIM-F-005,Timing Generator,Shall count 512 operations per frame,Must,,p1-4-to-p1-34-.txt (pp. 1-4 to 1-6); ap1-26-97.txt (p. 7),timing_generator.vhd,timing_generator_tb.vhd
Requirement,TIM-F-006,Timing Generator,Shall generate word_mark at T18 of every word,Must,,p1-4-to-p1-34-.txt (pp. 1-4 to 1-6),timing_generator.vhd,timing_generator_tb.vhd
Requirement,TIM-F-007,Timing Generator,Shall generate frame_mark at end of OP 511,Must,,p1-4-to-p1-34-.txt (pp. 1-4 to 1-6); ap1-26-97.txt (p. 15),timing_generator.vhd,timing_generator_tb.vhd
Requirement,TIM-F-008,Timing Generator,Reset shall clear all counters and start from T0/WA/OP0,Must,,p1-4-to-p1-34-.txt (pp. 1-4 to 1-6),timing_generator.vhd,timing_generator_tb.vhd
Requirement,TOP-F-001,CADC Top Level,Shall instantiate and interconnect all 7 modules,Must,,CADC_Module_Specification.pdf (pp. 1-4); ap1-26-97.txt (pp. 15-17),cadc_top.vhd,cadc_top_tb.vhd
Requirement,TOP-F-002,CADC Top Level,Shall implement the timing generator,Must,,p1-4-to-p1-34-.txt (pp. 1-4 to 1-6); Rays-Chapter-7-System-Info.txt (pp. 5-6),cadc_top.vhd,cadc_top_tb.vhd
Requirement,TOP-F-003,CADC Top Level,Shall execute 512 operations per frame,Must,,p1-4-to-p1-34-.txt (pp. 1-4 to 1-6); p1-35-to-p2-28-.txt (pp. 1-35 to 1-42),cadc_top.vhd,cadc_top_tb.vhd
Requirement,TOP-F-004,CADC Top Level,Shall complete one frame in <= 60 ms,Must,,p1-35-to-p2-28-.txt (pp. 2-21 to 2-22),cadc_top.vhd,cadc_top_tb.vhd
Requirement,TOP-F-005,CADC Top Level,All inter-module data paths shall be 20 bits wide,Must,,p1-4-to-p1-34-.txt (pp. 1-4 to 1-6); ap1-26-97.txt (pp. 4-5),cadc_top.vhd,cadc_top_tb.vhd
Requirement,TOP-F-006,CADC Top Level,Shall support multiple PMU instances for parallel computation,Should,,p1-35-to-p2-28-.txt (pp. 1-35 to 1-42); ap1-26-97.txt (pp. 5-6),cadc_top.vhd,cadc_top_tb.vhd
Requirement,TOP-F-007,CADC Top Level,Shall support redundant dual-channel operation,Should,,p2-29-to-p2-46-.txt (p. 2-46); lsistate-97.pdf (pp. 6-7),cadc_top.vhd,cadc_top_tb.vhd
Requirement,TOP-F-008,CADC Top Level,Shall provide system reset that initializes all modules,Must,,CADC_Module_Specification.pdf (pp. 1-4),cadc_top.vhd,cadc_top_tb.vhd
Requirement,TOP-F-009,CADC Top Level,External I/O timing shall be compatible with sensor/actuator specs,Should,,ap1-26-97.txt (pp. 1-2); lsistate-97.pdf (pp. 1-2),cadc_top.vhd,cadc_top_tb.vhd
Requirement,TOP-F-010,CADC Top Level,FPGA resource utilization shall be documented,Should,,,cadc_top.vhd,cadc_top_tb.vhd
Requirement,PMU-F-001,PMU,Shall perform 20x20-bit signed fractional multiplication,Must,,p1-4-to-p1-34-.txt (pp. 1-7 to 1-9); Rays-Chapter-1-944111-PMU.txt (pp. 2-4); ap1-26-97.txt (pp. 7 12),pmu.vhd,pmu_tb.vhd
Requirement,PMU-F-002,PMU,Shall use Booth's algorithm for partial product generation,Must,,p1-4-to-p1-34-.txt (pp. 1-7 to 1-9); p3-1-to-B1-.txt (Appendix A),pmu.vhd,pmu_tb.vhd
Requirement,PMU-F-003,PMU,Shall produce a 20-bit result from upper bits of 40-bit product,Must,,Rays-Chapter-1-944111-PMU.txt (pp. 2-4),pmu.vhd,pmu_tb.vhd
Requirement,PMU-F-004,PMU,Shall correctly handle multiplication by zero,Must,,Rays-Chapter-1-944111-PMU.txt (pp. 2-4),pmu.vhd,pmu_tb.vhd
